bgg_id,name,year,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,cooperative,compilation,compilation_of,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id,game_type,designer,artist,mechanic,category,family,publisher,avg_time
224751,ROBiTs,2017.0,2.0,7.0,2.0,7.0,2.0,7.0,10.0,,10.0,20.0,,,,,,22995.0,168.0,5.35179,1.6475,5.47738,1.0,,,,,,,,,,Mat Nicholson,,Card Game,,,15.0
224761,Dragon and Rider,2022.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,30.0,30.0,,,,,,,8.0,6.875,1.36359,,2.0,,,,,,,,,William Umstattd,Scott Harshbarger,,,,Stone Table Games,30.0
224766,Landmarks,2019.0,2.0,4.0,2.0,4.0,2.0,4.0,8.0,,30.0,30.0,,,,,,,,,,,,,,,,,,,,Nathaniel Levan,,Dice Rolling,City Building,Admin: Upcoming Releases,The Spiel Press,
224783,Vindication,2018.0,2.0,5.0,2.0,5.0,4.0,4.0,14.0,12.333333333333334,45.0,150.0,,,,,,265.0,6199.0,7.80169,1.41915,7.19622,3.0744,,,,,,,,Strategy Game,Marc Neidlinger,,,Fantasy,,"Orange Nebula, LLC",97.5
224793,Gascony's Legacy,2021.0,1.0,4.0,1.0,4.0,1.0,4.0,14.0,,60.0,90.0,1.0,,,,,14275.0,42.0,6.82738,2.1922,5.52831,2.5714,,,,,,,,,,,,,,Lynnvander Studios,75.0
224794,Carreau,2018.0,2.0,4.0,2.0,4.0,2.0,4.0,8.0,,20.0,30.0,,,,,,9191.0,92.0,7.12228,1.39517,5.57558,1.3333,,,,,,,,,Gavin Birnbaum,Gavin Birnbaum,,,,Cubiko Games,25.0
224802,Krona,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,,15.0,60.0,,,,,,,,,,,,,,,,,,,,Roman Prostomolotov,,Pattern Building,Abstract Strategy,Players: Two Player Only Games,(Self-Published),
224803,Daisy Chain,2017.0,2.0,3.0,2.0,3.0,2.0,3.0,6.0,,10.0,30.0,,,,,,,3.0,6.16667,1.0274,,,,,,,,,,,Craig Duncan,,Pattern Building,,,(Self-Published),
224804,"Blood, Sweat and Cheers",2017.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,,10.0,20.0,,,,,,,6.0,6.83333,2.40947,,,,,,,,,,,Nicholas Wright,"Orestes ""Orestix"" Ermeides",,,,Ganesha Games,
224805,Discovery: The Evolution Game – Prehistory,2017.0,1.0,9.0,1.0,9.0,1.0,9.0,6.0,,15.0,60.0,,,,,,,14.0,6.31286,1.44554,,,,,,,,,,,Fabrizio Nastri,Benoît Clarys,,,Game: Discovery – The Evolution Game,Cosys,
224812,Paseo,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,,10.0,17.0,,,,,,,1.0,4.0,,,1.0,,,,,,,,,Mitsuo Yamamoto,Seiko Yamamoto,,,Players: Two Player Only Games,Logy Games,13.5
224815,Deca Slayer,2017.0,3.0,6.0,3.0,6.0,3.0,6.0,10.0,,30.0,30.0,,,,,,13435.0,67.0,6.52418,1.2261,5.53293,1.5,,,,,,,,,,,,,Crowdfunding: Kickstarter,,30.0
224818,Death Race Arcade,2018.0,2.0,8.0,2.0,8.0,2.0,8.0,13.0,,60.0,120.0,,,,,,,,,,,,,,,,,,,,Brandon Tibbetts,,,,,TessArae Games,
224819,Transformer Boxes: Taiwan's Most Beautiful Scenery,2017.0,2.0,6.0,2.0,6.0,2.0,6.0,8.0,,20.0,20.0,,,,,,,14.0,7.35714,1.39423,,,,,,,,,,,Adi Tan,,,,,TRANSit,
224821,One Deck Dungeon: Forest of Shadows,2017.0,1.0,2.0,1.0,2.0,1.0,1.0,14.0,,30.0,45.0,1.0,,,,179275,1294.0,2836.0,7.13792,1.28192,6.43485,2.3396,,,,,,,,,Chris Cieslik,,,,,,37.5
224824,Pariser Weltausstellungs Spiel,1900.0,2.0,6.0,2.0,6.0,2.0,6.0,,,,,,,,,,,1.0,9.0,,,,,,,,,,,,,,Roll / Spin and Move,Children's Game,,AK Spiele Heimchen,
224830,Chimera & More,2017.0,3.0,5.0,3.0,5.0,3.0,5.0,13.0,,45.0,90.0,,,,,,7891.0,105.0,7.41105,1.26546,5.60063,2.0,,,,,,,,,Ralph H. Anderson,Douglas Hettrick,,Card Game,,Eagle-Gryphon Games,67.5
224832,Blitzkrieg Commander: Fast Play Tabletop Wargame Rules for WWII – 3rd Edition,2017.0,1.0,6.0,1.0,6.0,1.0,6.0,12.0,,90.0,240.0,,,,303507,,,6.0,7.5,2.21736,,2.5,,,,,,,,,,,,,Game: Blitzkrieg Commander (Pendraken Miniatures),Pendraken Miniatures,165.0
224836,Seikoro (星コロ),2017.0,2.0,4.0,2.0,4.0,2.0,4.0,7.0,,30.0,45.0,,,,,,,7.0,6.37857,1.39229,,,,,,,,,,,Koinoboru (こいのぼる),Seiya Nakai (誠也 中井),,,,Hiroshima Manufacturing Gym (広島ものづくりジム),
224837,Worlds of Legend,2017.0,1.0,4.0,1.0,4.0,1.0,4.0,10.0,,30.0,90.0,1.0,,,,,,2.0,7.5,1.5,,,,,,,,,,,Sam Smith,Sam Smith,,,,(Web published),
224840,Koukyuu Gekokujouki (後宮下克上記) (こうきゅうげこくじょうき),2016.0,3.0,4.0,3.0,4.0,3.0,4.0,8.0,,30.0,45.0,,,,,,,,,,,,,,,,,,,,折原 武 (Takeshi Orihara),,,,,Paragraph Jump,
224857,ワイルドゴールド (Wild Gold),2017.0,3.0,4.0,3.0,4.0,3.0,4.0,8.0,,30.0,30.0,,,,,,,2.0,5.0,,,,,,,,,,,,ナラセン (Narasen),カムラジュンタ (Kamura Junta),,Card Game,,ロクジゾー (6jizoGames),
224859,Pocket Sports Surfing Tour,2017.0,1.0,4.0,1.0,4.0,1.0,4.0,13.0,,15.0,45.0,,,,,,,4.0,7.375,0.649519,,,,,,,,,,,Hamish Sterling,,,,Sports: Surfing,Pocket Sports,
224860,Area Around Fleet,2017.0,1.0,2.0,1.0,2.0,1.0,2.0,12.0,,180.0,180.0,,,,,,,3.0,7.66667,0.471405,,4.0,,,,,,,,,,,,,Series: Japanese Fleet (Victory Games),Technical Term Game Company,
224873,Endless Working,2016.0,2.0,6.0,2.0,6.0,2.0,6.0,9.0,,1.0,10.0,,,,,,,9.0,4.55556,0.926296,,,,,,,,,,,ねこ電球 (Neko Denkyu),Micchi (みっちー),,,,MR エンターテイメント (MR Entertainment),
224890,Arc of the Kaiser's Last Raider,2019.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,,120.0,240.0,,,,,,,7.0,6.85714,0.989743,,,,,,,,,,,Joseph Miranda,Ania B. Ziolkowska,,,,One Small Step,
224894,Michael Strogoff,2017.0,1.0,5.0,1.0,4.0,1.0,5.0,12.0,,60.0,60.0,,,,,,4434.0,609.0,6.69983,1.38476,5.77122,2.069,,,,,,,,Thematic,Alberto Corral,Pedro Soto,,Novel-based,,,60.0
224904,Sunset Over Water,2018.0,1.0,4.0,1.0,4.0,4.0,4.0,8.0,,20.0,20.0,,,,,,2182.0,1488.0,6.97312,1.21729,6.1281,1.7027,,,,,,,,Family Game,,,,,,,20.0
224907,Super Mario: Level Up! Board Game,2017.0,3.0,6.0,3.0,6.0,3.0,6.0,8.0,,10.0,30.0,,,,7806,,6892.0,429.0,6.30579,1.48352,5.62936,1.25,,,,,,,,,,,Voting,,,,20.0
224911,Shinobi just,2017.0,3.0,6.0,3.0,6.0,3.0,6.0,8.0,,20.0,30.0,,,,,,,10.0,5.5,1.73205,,,,,,,,,,,,佐山貴亮 (Takaaki Sayama),Hand Management,Card Game,Theme: Ninjas,Comet,
224920,Prince's Gambit,2018.0,6.0,8.0,6.0,8.0,6.0,8.0,18.0,,30.0,60.0,1.0,,,,,16723.0,30.0,6.73333,1.82452,5.51636,2.0,,,,,,,,,Justin Achilli,,,,,Onyx Path Publishing,45.0
224921,BroWars: Prawo Pubów,2017.0,3.0,6.0,3.0,6.0,3.0,6.0,18.0,,30.0,45.0,,,,,,,6.0,6.91667,1.64359,,1.0,,,,,,,,,,,Set Collection,,,Cube Factory of Ideas,37.5
224922,UX in the Jungle,2017.0,2.0,6.0,2.0,6.0,2.0,6.0,15.0,,45.0,45.0,1.0,,,,,,6.0,7.83333,1.57233,,3.0,,,,,,,,,DJ (Der-Jeng) Lin,,,,,Trend Education Foundation,45.0
224923,Zoom Out,2016.0,2.0,6.0,2.0,6.0,2.0,6.0,6.0,,15.0,15.0,,,,,,,8.0,5.9375,1.81034,,1.0,,,,,,,,,Martin Nedergaard Andersen,Guido Favaro,Hand Management,,,Red Glove,15.0
224926,Meeple Mafia,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,,10.0,15.0,,,,,,,28.0,5.83929,1.54141,,,,,,,,,,,Guillaume Sandance,Anne Tymen,,Dice,,(Self-Published),
224937,Status Report!,2018.0,3.0,7.0,3.0,7.0,3.0,7.0,13.0,,10.0,20.0,,,,,,18944.0,38.0,5.93684,1.68608,5.50657,2.3333,,,,,,,,,Patrick Brennan,Alisha Wilkerson,Acting,,,offcut games,15.0
224938,Liberator of Dylon,2017.0,2.0,4.0,2.0,4.0,2.0,4.0,10.0,,5.0,20.0,,,,,,,1.0,9.0,,,,,,,,,,,,ササザワ ダイスケ,ササザワ ダイスケ,,Card Game,,Artman Games (Artmangames),
